global,cowid,days,TP,ALB,BUN,CHO,GOT,GGT,CA,IP,GLU,NH3,NEFA,BHB
1461212865,87,100,7,3.7,14.8,226,80,32,11,5.2,53,124,746,382.7
1476022893,115,100,8,3.2,9.8,220,89,37,10.4,6.4,67,100,130,389.5
864142540,48,100,6.7,3.3,22.6,163,97,73,7.6,6.1,76,190,893,267.2
864142588,60,101,8.6,3.2,7.8,195,75,37,9.7,7.1,62,149,192,397.8
1422815333,1,103,7.4,3.8,12.7,252,80,24,10.8,5.4,59,108,136,411.8
1459513783,3,103,8,3.6,14,156,103,29,11.1,4.1,51,141,124,414.8
1419604346,98,103,8.1,3.5,12.6,373,72,27,10.2,6.2,65,96,294,417
1536008650,182,104,7.8,3.4,12.8,235,105,33,10.2,4.8,72,48,329,331.3
1466606560,55,105,7,3.4,12.7,274,96,36,10,5.7,51,147,263,435.9
1483811640,65,105,7.3,3.8,13.2,215,98,49,10.8,3.8,58,138,398,318.2
1396615953,72,106,7.1,3.7,14.2,197,103,38,10.7,5.5,60,151,155,531.6
1436725352,89,106,7.5,3.6,14.9,213,96,41,10.6,5,55,147,139,414.1
864142632,57,106,8,3.1,12.4,256,103,25,10.7,5.8,70,143,116,281.9
1436725420,79,108,7.2,3.6,10.1,230,102,43,10.4,7.2,59,127,148,442.3
1449314062,162,108,7.9,3.5,8.2,246,88,63,10.1,7.1,59,58,160,503.6
1460912186,92,109,7.5,3.5,11.5,293,81,31,10.5,5.5,51,175,285,425.8
1373724159,91,109,7.7,3.5,11.5,223,118,39,10,5,65,160,129,382.4
1384822363,159,109,8.5,3.4,11.5,304,111,45,12.1,2.3,74,48,154,733.6
1395319777,109,111,7.2,3.4,11.4,83,77,38,9.7,7.1,61,44,71,476.8
1494659514,34,112,7.1,3.3,8.8,230,68,37,10.2,5.9,57,111,129,558.3
1437612545,46,112,7.8,3.4,11.2,230,81,35,10.4,5.1,58,146,138,601.2
1436024752,4,115,7.1,3.4,11.9,254,72,35,11.5,6.9,59,113,156,337.9
1401416254,67,115,7.1,3.4,11.6,236,91,33,10.3,6.8,63,111,135,536.7
1394819674,50,117,7.6,3.5,9.2,309,113,46,11.8,5.3,61,105,165,452.2
1482211717,38,118,7.4,3.4,12.4,300,117,28,10.7,5.7,63,65,320,432.5
864770057,62,123,7.8,3.5,12.4,257,77,46,11.2,5.3,61,91,135,596.4
1514410071,76,129,8,3.7,15.5,289,79,38,10.2,6.9,61,101,117,446.5
1476022893,115,135,8.7,3.4,11.5,295,86,47,10.5,7.8,65,66,116,488.5
864142588,60,136,7.8,3.2,9,229,69,35,10.2,6.4,66,100,138,361.9
1460912186,92,137,7.8,3.5,11.3,195,158,70,10.8,4.3,63,117,144,534.9
1417215391,12,141,8,3.4,15.4,236,130,33,10.7,3.5,60,131,422,356.2
864142632,57,141,7.7,3.5,14.3,211,101,30,10.2,7.3,61,61,104,295.3
1436725420,79,143,7.6,3.5,11.8,220,81,51,9.7,5.1,65,70,138,323.3
1373724159,91,144,7.8,3.8,12.8,225,117,45,10.5,7.7,62,54,136,423.3
1494659514,34,147,7.5,3.5,10.2,293,77,44,10.3,7.8,59,66,139,422.7
1514410118,63,154,7.7,3.7,13.6,311,89,39,11.1,6.7,68,70,216,303.9
864770057,62,158,8.5,3.8,15,346,90,51,11.9,4.7,72,86,147,560.4
1461212865,87,163,8.1,3.2,10.9,213,77,42,9.9,5.8,64,56,134,318.3
1483811640,65,168,7.6,3.6,8.8,265,180,136,10.8,4.6,69,52,242,421.1
1396615953,72,169,7.1,3.4,13.3,225,111,28,10.2,5.4,71,62,118,599.6
1460912186,92,172,8,3.3,14.3,292,104,34,10.3,5.8,57,59,106,380.4
